frame,class,id,x_center,y_center,x,y,w,h
0,car,1,191.3624725341797,666.3668518066406,0.72494507,567.2749,381.27505,198.1839
0,truck,2,176.4945526123047,404.2631072998047,165.45432,391.68475,22.080475,25.156708
1,car,1,191.0,665.3027648925781,0.0,564.9059,382.0,200.79376
1,truck,2,175.77970123291016,403.97044372558594,164.50749,391.14117,22.544418,25.658539
2,car,1,191.0,664.9736328125,0.0,563.93744,382.0,202.07239
2,truck,2,175.74872589111328,403.9863739013672,163.78938,390.35938,23.918686,27.253998
3,car,1,191.0,664.6536254882812,0.0,564.20844,382.0,200.89038
3,truck,2,175.73501586914062,404.0572204589844,163.54121,390.14212,24.387604,27.8302
4,car,1,191.0,664.2789001464844,0.0,564.0573,382.0,200.44318
4,truck,2,175.4908447265625,404.0156707763672,162.99718,389.7227,24.987335,28.585968
5,car,1,191.0,664.9507446289062,0.0,564.0872,382.0,201.72705
5,truck,2,175.6028823852539,403.6954040527344,162.9303,389.14597,25.34517,29.098877
6,car,1,191.0,664.9474182128906,0.0,564.17523,382.0,201.54437
6,truck,2,175.61997985839844,403.9459686279297,163.19786,389.6623,24.844238,28.567352
7,car,1,191.0,664.4449157714844,0.0,562.8427,382.0,203.2044
7,truck,2,175.60511016845703,404.1226043701172,163.1035,389.695,25.00322,28.855194
8,car,1,191.0,664.6807861328125,0.0,563.7752,382.0,201.81116
8,truck,2,175.81787872314453,404.1891021728516,163.6642,390.16605,24.307358,28.046112
9,car,1,191.0,664.7662048339844,0.0,563.9395,382.0,201.65338
9,truck,2,175.87484741210938,404.2222900390625,163.86266,390.3591,24.024384,27.72638
10,car,1,191.0,664.8634948730469,0.0,564.4275,382.0,200.87201
10,truck,2,175.739501953125,404.1014404296875,163.73169,390.25183,24.015625,27.699219
11,car,1,191.0,664.7250366210938,0.0,564.52374,382.0,200.40259
11,truck,2,175.7408905029297,403.8671417236328,163.55544,389.80154,24.37091,28.131195
12,car,1,191.3795110583305,665.2640380859375,0.8216345,565.5194,381.11575,199.48926
12,truck,2,175.65401458740234,403.6732177734375,163.29086,389.39407,24.726303,28.558289
13,car,1,191.0,663.8040771484375,0.0,563.3633,382.0,200.88159
13,truck,2,175.51473999023438,404.3468322753906,163.53256,390.57224,23.964355,27.549194
14,car,1,191.0,663.50732421875,0.0,562.49677,382.0,202.02112
14,truck,2,175.50545501708984,404.3089294433594,163.42157,390.44897,24.16777,27.71991
15,car,1,191.0,663.5491943359375,0.0,562.9881,382.0,201.1222
15,truck,2,175.55086517333984,404.4571533203125,163.42482,390.55814,24.25209,27.798035
16,car,1,191.0,663.8717041015625,0.0,562.5249,382.0,202.6936
16,truck,2,175.54334259033203,404.5382537841797,163.39445,390.62723,24.297775,27.822052
17,car,1,191.0,663.9365234375,0.0,561.52094,382.0,204.83118
17,truck,2,175.55784606933594,404.3945770263672,163.25587,390.2929,24.603943,28.203339
18,car,1,191.0,664.0579833984375,0.0,561.27576,382.0,205.56445
18,truck,2,175.50697326660156,404.3588409423828,163.05717,390.0657,24.899597,28.586273
19,car,1,191.0,664.1101379394531,0.0,561.1953,382.0,205.82965
19,truck,2,175.3971405029297,404.8625183105469,163.11339,390.78394,24.567505,28.157166
20,car,1,191.0,663.9514770507812,0.0,561.22833,382.0,205.44629
20,truck,2,175.46463012695312,404.5787811279297,162.95668,390.229,25.0159,28.699554
21,car,1,191.0,663.9613952636719,0.0,561.9151,382.0,204.09259
21,truck,2,175.66847229003906,404.3379211425781,162.7446,389.41742,25.847748,29.841003
22,car,1,191.0314370021224,663.8740234375,0.06288537,562.4256,381.9371,202.89685
22,truck,2,175.6681137084961,404.8287353515625,162.85368,389.99274,25.62886,29.671997
23,car,1,191.04738415032625,664.4971923828125,0.09476269,563.0211,381.90524,202.95215
23,truck,2,175.76972198486328,405.0964965820313,162.96098,390.22372,25.617477,29.745544
24,car,1,191.0,664.468994140625,0.0,562.7776,382.0,203.38281
24,truck,2,175.8251724243164,405.4205932617188,162.98906,390.46606,25.672226,29.909058
25,car,1,191.0,664.1238403320312,0.0,562.32465,382.0,203.59839
25,truck,2,175.98363494873047,405.6398315429688,163.2015,390.72656,25.564255,29.826538
26,car,1,191.0,664.3068542480469,0.0,562.3819,382.0,203.84991
26,truck,2,176.0805892944336,405.5380859375,163.8373,391.34583,24.486588,28.384521
27,car,1,191.0,664.0701599121094,0.0,562.01984,382.0,204.10065
27,truck,2,176.10855865478516,404.826416015625,163.80463,390.60947,24.607864,28.433899
28,car,1,191.3882449865341,664.5503234863281,1.2366947,563.48834,380.3031,202.12396
28,truck,2,176.26180267333984,403.2539367675781,163.27988,388.19315,25.963852,30.121582
29,car,1,191.37366700172424,664.189208984375,1.2465155,563.1609,380.2543,202.05664
29,truck,2,176.481201171875,402.4601440429688,163.28162,387.0889,26.39917,30.742493
30,car,1,191.3680944442749,664.7612915039062,1.2321386,563.7502,380.2719,202.02222
30,truck,2,176.63226318359375,402.3143310546875,163.45102,386.91165,26.362488,30.805359
31,car,1,191.3550000190735,664.5453491210938,1.2547345,563.57465,380.20053,201.9414
31,truck,2,176.7711410522461,402.2700653076172,163.52611,386.74942,26.490067,31.04129
32,car,1,191.113649263978,664.8468627929688,0.22731198,563.28674,381.77267,203.12024
32,truck,2,176.77571868896484,402.4900970458984,163.47115,386.83472,26.609146,31.31076
33,car,1,191.0,664.7880249023438,0.0,562.6672,382.0,204.2417
33,truck,2,176.83309936523438,402.7135772705078,163.53322,387.01382,26.599762,31.399506
34,car,1,191.0,664.4728393554688,0.0,562.6811,382.0,203.5835
34,truck,2,176.85112762451172,403.6412963867188,163.80527,388.266,26.09172,30.75061
35,car,1,191.0,664.2871704101562,0.0,562.4313,382.0,203.71179
35,truck,2,176.90199279785156,404.4447021484375,163.75713,388.96085,26.289734,30.967712
36,car,1,191.0,664.3870239257812,0.0,561.9612,382.0,204.85168
